                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.4044,                0.54954,                  1.205,                0.78552,                0.82973,                0.89635,                0.48948,                 1.6452,                 1.0997,                 1.5247,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.4059,                0.55443,                 1.2087,                0.76055,                0.78894,                0.84816,                 0.4521,                 1.7348,                 1.3705,                 1.5738,              0.0076834,              0.0076834,              0.0076834
                    119,                  1.404,                 0.5453,                 1.2076,                0.74609,                0.80319,                0.87209,                0.44183,                 1.8146,                 1.2437,                 1.5963,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.4098,                0.54718,                 1.2133,                0.76837,                0.75654,                0.83871,                0.39597,                 2.0035,                 1.3372,                  1.716,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.4108,                 0.5413,                 1.2037,                0.74167,                0.79999,                0.84039,                0.40015,                 1.9087,                  1.337,                 1.6665,               0.007624,               0.007624,               0.007624
                    122,                 1.4152,                0.55108,                 1.2157,                0.81347,                0.82335,                 0.8785,                0.45148,                 1.7923,                 1.1928,                 1.6104,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.3897,                0.54284,                 1.2091,                 0.6786,                0.73105,                0.77604,                0.39358,                 1.8565,                 1.5363,                 1.6573,              0.0075844,              0.0075844,              0.0075844
                    124,                  1.408,                0.53778,                 1.2077,                0.85533,                 0.6163,                0.81594,                0.40751,                  1.862,                 1.3547,                 1.6318,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.3987,                 0.5399,                 1.2061,                0.73686,                0.81532,                0.84439,                0.45176,                 1.7136,                 1.2635,                 1.5427,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.4067,                0.54419,                 1.2101,                0.78527,                0.76211,                 0.8522,                0.46794,                  1.687,                 1.2975,                 1.5337,               0.007525,               0.007525,               0.007525
                    127,                 1.4021,                  0.547,                 1.2037,                0.72964,                0.79426,                0.84807,                0.43301,                 1.7661,                 1.3034,                 1.6205,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.3947,                0.53342,                 1.2097,                0.71001,                0.76013,                0.82982,                0.42378,                 1.7549,                 1.1939,                 1.6108,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.4003,                0.53874,                 1.1985,                0.80937,                0.69367,                0.80991,                0.41478,                 1.7512,                 1.3147,                 1.6109,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.3944,                0.54939,                  1.203,                0.81336,                0.69267,                0.84669,                0.42249,                 1.8398,                 1.3678,                 1.6725,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.4004,                0.54471,                  1.209,                 0.7446,                0.66976,                0.71621,                 0.3747,                 1.7914,                 1.5821,                 1.6001,               0.007426,               0.007426,               0.007426
                    132,                  1.398,                0.54348,                 1.2161,                0.70261,                0.78898,                0.84675,                0.45013,                  1.706,                 1.2948,                 1.5572,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.3823,                0.53611,                 1.1938,                0.69704,                0.73633,                0.79253,                0.39306,                  1.817,                 1.4305,                 1.6652,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.3936,                0.52892,                 1.2011,                0.86362,                0.64942,                0.83835,                0.41814,                 1.8205,                 1.3583,                 1.6534,              0.0073666,              0.0073666,              0.0073666
                    135,                  1.392,                0.53789,                 1.1964,                  0.818,                0.77712,                0.87367,                0.49315,                 1.6247,                 1.1367,                 1.4896,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.3797,                 0.5317,                 1.2038,                0.81063,                0.82113,                0.87008,                0.46434,                 1.6977,                 1.1322,                 1.5483,               0.007327,               0.007327,               0.007327
                    137,                  1.393,                0.53919,                 1.2046,                0.72584,                0.81378,                0.85061,                0.45967,                 1.6953,                 1.3327,                 1.5361,              0.0073072,              0.0073072,              0.0073072
